figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,final_figures/candidate_693168_dashboard.pdf,final_figures/candidate_693168_dashboard.png,Candidate overview dashboard,dense histories; fine T2; ablations,Joint visual summary,Candidate 693168 audit
2,final_figures/time_evolution/candidate_693168_full_time_evolution.pdf,final_figures/time_evolution/candidate_693168_full_time_evolution.png,Full physical-time evolution,dense_candidate_693168_histories.csv,"Compare high-T, lower failure, success, and upper failure",Candidate 693168 audit
3,final_figures/time_evolution/candidate_693168_pore_store_evolution.pdf,final_figures/time_evolution/candidate_693168_pore_store_evolution.png,Pore-store and number evolution,dense histories,Audit closed-pore population and topology transition,Candidate 693168 audit
4,final_figures/time_evolution/candidate_693168_closed_accommodation.pdf,final_figures/time_evolution/candidate_693168_closed_accommodation.png,Closed-pore accommodation,dense histories,Expose finite accommodation and lower boundary,Candidate 693168 audit
5,final_figures/time_evolution/candidate_693168_PR_energy_topology_memory.pdf,final_figures/time_evolution/candidate_693168_PR_energy_topology_memory.png,PR and topology memory,dense histories,Distinguish named PR redistribution from densification,Candidate 693168 audit
6,final_figures/time_evolution/candidate_693168_migration_topology_channels.pdf,final_figures/time_evolution/candidate_693168_migration_topology_channels.png,Migration/topology channels,dense histories,Audit secondary migration mechanisms,Candidate 693168 audit
7,final_figures/chen_maps/candidate_693168_complete_Chen_classification_map.pdf,final_figures/chen_maps/candidate_693168_complete_Chen_classification_map.png,Complete Chen classification map,fine T2 classification,Show all represented boundary classes,Candidate 693168 audit
8,final_figures/chen_maps/candidate_693168_complete_Chen_filled_window.pdf,final_figures/chen_maps/candidate_693168_complete_Chen_filled_window.png,Complete Chen filled window,fine T2 classification,Show finite Tier-B success band,Candidate 693168 audit
9,final_figures/chen_maps/candidate_693168_T2_diagnostics.pdf,final_figures/chen_maps/candidate_693168_T2_diagnostics.png,Fine T2 diagnostics,fine T2 classification,Locate lower and upper boundaries,Candidate 693168 audit
10,final_figures/ablations/candidate_693168_ablation_waterfall.pdf,final_figures/ablations/candidate_693168_ablation_waterfall.png,Ablation waterfall,candidate_693168_ablation_audit.csv,"Separate attainment, boundary, and reduction causality",Candidate 693168 audit
11,final_figures/comparison/six_TierB_candidate_comparison.pdf,final_figures/comparison/six_TierB_candidate_comparison.png,Six Tier-B candidates,six_tierB_candidate_comparison.csv,Determine whether 693168 is an outlier,Candidate 693168 audit
12,final_figures/comparison/candidate_693168_robustness_heatmap.pdf,final_figures/comparison/candidate_693168_robustness_heatmap.png,Candidate robustness heatmap,extended robustness,Map bounded initial-condition domain,Candidate 693168 audit
13,final_figures/comparison/fast_firing_preservation_candidate_693168.pdf,final_figures/comparison/fast_firing_preservation_candidate_693168.png,Fast-firing preservation,frozen E0021/E0142 audit,"Confirm nucleation-limited, PR-independent envelope",Candidate 693168 audit
14,final_figures/candidate_693168_mechanism_schematic.pdf,final_figures/candidate_693168_mechanism_schematic.png,Mechanism schematic,conceptual synthesis,Explain PR-prepared closed accommodation and three T2 outcomes,Candidate 693168 audit
15,final_figures/candidate_693168_final_panel.pdf,final_figures/candidate_693168_final_panel.png,Final manuscript-style panel,all final audit tables,Compact visual inspection package,Candidate 693168 audit
