figure_id,panel_id,relative_path,rows,columns,bytes,evidence_level,model_layer,source_file,source_table,data_status,notes
Figure 1,nodes,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv,19,18,10634,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,available,Schematic nodes transcribed from the exact-only final synthesis.
Figure 1,edges,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_edges.csv,16,16,7739,schematic,final_synthesis,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Figure 1 caption,available,Causal-status labels preserve final-attribution versus hypothesis distinctions.
Figure 1,annotations,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_chain_annotations.csv,3,14,1341,schematic,final_synthesis,docs/NON_CLAIMS_AND_GUARDRAILS.md,non-claims,available,Manuscript guardrail annotations.
Figure 2,phase_map,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv,1903,48,1570775,exact,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_exact_promotions.csv,exact promoted union joined to saved screen descriptors,available,"All 1,903 exact-promoted cases; screen descriptors are axes only and do not control exact classification."
Figure 2,counts,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_behavior_classification_counts.csv,7,14,3554,exact,final_synthesis,results/final_mechanism_synthesis_and_property_windows/source_tables/exact_behavior_classification_counts.csv,exact counts plus saved screening totals,available,Exact counts reproduce the final synthesis; surrogate both is labeled screening evidence.
Figure 2,axis_options,results/figure_source_data_package/figure_02_exact_property_phase_map/dimensionless_group_axis_options.csv,4,15,2224,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/dimensionless_groups_by_path.csv,saved dimensionless groups,available,Axis options only; exact behavior classes remain the evidence.
Figure 3,matched_density,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv,442,30,285312,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense E0021/E0142 histories,available,Matched-density interpolation of saved exact histories; no simulation or parameter change.
Figure 3,ablations,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_ablation_curves.csv,442,30,287964,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,available,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived."
Figure 3,Qnuc_OAT,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_OAT_Qnuc_window.csv,9,21,4903,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,available,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.
Figure 3,timescales,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_timescale_groups.csv,8202,29,6626323,diagnostic,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense histories with derived serial timescale groups,available,"Derived algebraically from saved instantaneous timescales; diagnostic, not a new mechanism."
Figure 3,clean_time_histories,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,23708,40,21146505,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast histories,available,"Clean external-plotting history package for E0021/E0142 full, PR-off, and nucleation-facile modes."
Figure 3,clean_G_rho,results/figure_source_data_package/fast_firing/clean_fast_firing_G_vs_rho.csv,23708,24,13635585,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast histories,available,Direct G-rho rows; no matched-density interpolation.
Figure 3,clean_ratio,results/figure_source_data_package/fast_firing/clean_fast_firing_ratio_vs_rho.csv,442,30,276914,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density interpolation,available,All matched-density ratios are scored only over jointly attained density ranges.
Figure 3,heating_rate_map,results/figure_source_data_package/fast_firing/clean_fast_firing_heating_rate_map.csv,6,19,3316,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,matched-density rate summary,available,Frozen 1 C/min reference compared with each archived faster ramp.
Figure 3,ablation_summary,results/figure_source_data_package/fast_firing/clean_fast_firing_ablation_summary.csv,2,21,1707,exact,fast_firing_material,results/local_region_decoder_corrected_dynamic_search/fast_firing_preservation.csv,frozen causal preservation audit,available,Confirms full and PR-off retention and nucleation-facile loss for E0021/E0142.
Figure 4,matched_density,results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv,236,27,174470,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,frozen exact dense histories,available,"Matched-density interpolation for success, lower-failure, and upper-failure paths over available overlap; 0.95-0.98 highlighted where attained."
Figure 4,Qclosed_OAT,results/figure_source_data_package/figure_04_two_step_property_window/two_step_OAT_Qclosed_window.csv,9,22,5037,exact,candidate_693168_audit,results/final_mechanism_synthesis_and_property_windows/source_tables/two_step_OAT_window.csv,exact OAT Q_closed_delta_kJ,available,"Frozen exact OAT; no target, budget, or parameter changes."
Figure 4,PR_threshold,results/figure_source_data_package/figure_04_two_step_property_window/two_step_PR_prefactor_threshold.csv,7,22,3881,exact,candidate_693168_audit,results/final_mechanism_synthesis_and_property_windows/source_tables/two_step_OAT_window.csv,exact OAT k_PR_factor,available,"Frozen exact OAT; no target, budget, or parameter changes."
Figure 4,growth_threshold,results/figure_source_data_package/figure_04_two_step_property_window/two_step_growth_prefactor_threshold.csv,7,22,4004,exact,candidate_693168_audit,results/final_mechanism_synthesis_and_property_windows/source_tables/two_step_OAT_window.csv,exact OAT k_growth_factor,available,"Frozen exact OAT; no target, budget, or parameter changes."
Figure 4,selectivity,results/figure_source_data_package/figure_04_two_step_property_window/two_step_selectivity_groups.csv,4,20,2559,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,integrated saved open/closed flux histories,available,Pathwise diagnostic groups; unavailable S_closed_growth is explicitly NaN.
Figure 5,fine_classification,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv,101,48,78114,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact fine T2 scan,available,Unavailable per-point internal channels remain NaN and are listed in the missing-channel table.
Figure 5,boundaries,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_Chen_boundaries.csv,1,19,762,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_window_boundaries_fine.csv,fine exact boundary summary,available,Complete lower and upper boundary brackets for the frozen candidate.
Figure 5,T2_diagnostics,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_T2_diagnostic_curves.csv,56,33,40813,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/T2_diagnostic_curves.csv,publication-style exact T2 diagnostics,available,"Final density, growth, pore state, and open/closed integrated shrinkage versus T2."
Figure 5,filled_tiles,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_filled_map_tiles.csv,101,25,61152,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,fine exact classification tiles,available,Contains failures and successes; not a sparse success-only table.
Figure 6,candidate_summary,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv,6,33,5764,exact,local_region_two_step,results/reframe_tierB_experimental_plausibility/tierB_candidate_reinterpretation.csv,six exact candidate reinterpretation,available,All six exact Tier-B candidates; 693168 remains conditional and unvalidated.
Figure 6,ablation_matrix,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_ablation_matrix.csv,114,25,66115,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/ablation_summary.csv,six-candidate exact ablation matrix,available,"Mechanism-loss category is derived from saved attainment, boundary, and reduction fields."
Figure 6,robustness,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_robustness_summary.csv,27,18,12102,exact,local_region_two_step,results/local_region_decoder_corrected_dynamic_search/robustness_summary.csv,bounded exact initial-condition robustness,available,No selective budget extension or new cases.
Figure 6,closed_fraction_relation,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_closed_fraction_vs_reduction.csv,6,18,3465,exact,local_region_two_step,results/reframe_tierB_experimental_plausibility/tierB_candidate_reinterpretation.csv,six-candidate exact summary,available,Descriptive correlation source; not a universal material law.
Candidate 693168,dense_histories,results/figure_source_data_package/candidate_693168/dense_time_histories.csv,7219,67,7899951,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv; results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen exact candidate and E0021 fast-firing histories,available,"Continuous time for highT, success, lower-failure, upper-failure, fast-reference, and fast paths. TJ-specific and residual-stress channels unavailable here remain NaN."
Candidate 693168,matched_density,results/figure_source_data_package/candidate_693168/matched_density_ratio_curves.csv,236,21,129880,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,matched-density interpolation,available,Jointly attained density ranges only.
Candidate 693168,fine_T2,results/figure_source_data_package/candidate_693168/fine_T2_scan.csv,101,48,71448,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_classification_points_fine.csv,101-point exact T2 scan,available,Complete fine scan including failures.
