test,passed,error
test_01_barrier_hash_unchanged,True,
test_02_gb_diffusivity_unchanged,True,
test_03_surface_diffusivity_unchanged,True,
test_04_failed_global_mobility_inactive,True,
test_05_no_physical_qclosed,True,
test_06_qclosed_app_diagnostic_only,True,
test_07_density_identity,True,
test_08_transfers_conserve,True,
test_09_surface_alone_no_density,True,
test_10_pr_alone_no_density,True,
test_11_zero_closed_inventory,True,
test_12_nonpositive_stress_stops_closed,True,
test_13_gas_reduces_stress,True,
test_14_r4_surface_time,True,
test_15_small_pores_pin_more,True,
test_16_mean_and_distributional_zener_reported,True,
test_17_migration_does_not_change_density_rate,True,
test_18_t2_paths_clone_state,True,
test_19_finite_window_requires_boundaries,True,
test_20_local_laws_have_no_schedule_labels,True,
test_21_reconstructed_positive_not_measured,True,
test_22_candidate_is_response_target_only,True,
test_23_figures_have_sources_no_placeholders,True,
test_24_reports_nonvalidation,True,
test_25_staged_scope_excludes_unrelated_files,True,
