equation_id,equation_name,evidence_role,branches_results_using_it,implementation_note
FF-01,Capillary/pore activation stress,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-02,Stress-assisted nucleation time,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-03,Exchange time,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-04,Transport time,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-05,Serial cycle time,final_evidence,full model and transport-only ablation,paper-form equivalent of implemented code
FF-06,Renewal activity,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-07,Connected-fine eligibility,implemented_proxy,final fast-firing E0021/E0142,"implemented proxy, not derived physical law"
FF-08,Serial-cycle densification,final_evidence,final fast-firing E0021/E0142,paper-form equivalent of implemented code
FF-09,Low-activity surface redistribution,causal_ablation,PR-off fast-firing ablation,paper-form equivalent of implemented code
FF-10,Intrinsic grain growth,final_evidence,fast growth and upper-bound channel,paper-form equivalent of implemented code
FF-11,Migration-only topology factor,diagnostic_only,separated topology closures,paper-form equivalent of implemented code
FF-12,Conservative adjacent-bin PR update,causal_ablation,fast PR ablation,paper-form equivalent of implemented code
PR-01,Fine-bin logistic weight,negative_control,production PR memory,paper-form equivalent of implemented code
PR-02,Low-renewal gate,negative_control,production PR memory,paper-form equivalent of implemented code
PR-03,Relative PR thermal factor,negative_control,production PR memory,paper-form equivalent of implemented code
PR-04,Connected fine topology gate,negative_control,production PR memory,paper-form equivalent of implemented code
PR-05,PR source by bin,negative_control,production PR memory,paper-form equivalent of implemented code
PR-06,Conservative PR partitions,negative_control,production PR memory,paper-form equivalent of implemented code
PR-07,Densification/PR competition,negative_control,production PR memory,paper-form equivalent of implemented code
PR-08,Competition-scaled removal,negative_control,production PR memory,paper-form equivalent of implemented code
PR-09,PR/densifying work proxies,diagnostic_only,production PR diagnostics,paper-form equivalent of implemented code
PL-01,Three-store pore conservation,negative_control,pore-location topology,paper-form equivalent of implemented code
PL-02,GB coverage,negative_control,pore-location topology,paper-form equivalent of implemented code
PL-03,TJ occupancy,negative_control,pore-location/TJ models,paper-form equivalent of implemented code
PL-04,Location densification eligibility,negative_control,pore-location topology,paper-form equivalent of implemented code
PL-05,Location density rate,negative_control,pore-location topology,paper-form equivalent of implemented code
PL-06,Class-A pore pinning,negative_control,pore-location topology,paper-form equivalent of implemented code
AL-01,Nonnegative action propensity,negative_control,local action allocation,paper-form summary of explicit action score dictionary
AL-02,Normalized action allocation,negative_control,local action allocation,paper-form equivalent of implemented code
AL-03,Constrained pair allocation,negative_control,three action-pair groups,paper-form equivalent of implemented code
TJ-01,Persistent-junction production,negative_control,persistent-junction Chen families,paper-form equivalent of implemented code
