equation_id,equation_name,source_file,source_function,source_line,code_excerpt,branches_results_using_it,evidence_role
FF-01,Capillary/pore activation stress,separated_fast_chen_model.py,material_rates,33,"T=T_C+273.15;stress=4*p.gamma_s/max(G,1e-30)*(1+p.stress_concentration*np.sum(phi[radii>2*p.pore_radius0])/max(np.sum(phi),1e-300))",final fast-firing E0021/E0142,final_evidence
FF-02,Stress-assisted nucleation time,separated_fast_chen_model.py,material_rates,34,"tau_nuc=math.exp(float(np.clip(p.Q_disconnection_nucleation/(R*T)-p.v_star*stress/(KB*T),-50,50)))/p.nu0_nucleation",final fast-firing E0021/E0142,final_evidence
FF-03,Exchange time,separated_fast_chen_model.py,material_rates,35,"tau_exchange=p.tau_exchange_prefactor*math.exp(float(np.clip(p.Q_exchange/(R*T),-50,50)))",final fast-firing E0021/E0142,final_evidence
FF-04,Transport time,separated_fast_chen_model.py,material_rates,36,"tau_transport=p.tau_transport_prefactor*G**2*math.exp(float(np.clip(p.Q_transport/(R*T),-50,50)))",final fast-firing E0021/E0142,final_evidence
FF-05,Serial cycle time,separated_fast_chen_model.py,material_rates,39,"cycle=tau_transport if p.ablation_mode==""transport_only"" else tau_nuc+tau_exchange+tau_transport",full model and transport-only ablation,final_evidence
FF-06,Renewal activity,separated_fast_chen_model.py,material_rates,40,"activity=(tau_exchange+tau_transport)/cycle if p.activity_form==""serial_fraction"" else 1/(1+tau_nuc/max(tau_exchange+tau_transport,1e-300))",final fast-firing E0021/E0142,final_evidence
FF-07,Connected-fine eligibility,separated_fast_chen_model.py,material_rates,41,"connected=max(1-(rho-.82)/.18,0);fine=float(np.sum(phi[radii<=2*p.pore_radius0])/max(np.sum(phi),1e-300));geo=connected*fine",final fast-firing E0021/E0142,implemented_proxy
FF-08,Serial-cycle densification,separated_fast_chen_model.py,material_rates,42,"rho_dot=geo*p.event_strain/max(cycle,1e-300)*p.zeta_eta_ratio",final fast-firing E0021/E0142,final_evidence
FF-09,Low-activity surface redistribution,separated_fast_chen_model.py,material_rates,46,pr=p.PR_prefactor*surface*low_activity*fine,PR-off fast-firing ablation,causal_ablation
FF-10,Intrinsic grain growth,separated_fast_chen_model.py,material_rates,49,"growth_base=gb*p.gamma_GB/max(G,1e-30)",fast growth and upper-bound channel,final_evidence
FF-11,Migration-only topology factor,separated_fast_chen_model.py,topology_growth_factor,61,"return 1/(1+max(drag,0)),dict(X_J=X,Lambda_over_K=completion,pore_drag=drag)",separated topology closures,diagnostic_only
FF-12,Conservative adjacent-bin PR update,separated_fast_chen_model.py,run,84,"move=np.minimum(d[""PR_propensity""]*s[""phi""][:-1]*dt,.2*s[""phi""][:-1]);s[""phi""][:-1]-=move;s[""phi""][1:]+=move",fast PR ablation,causal_ablation
PR-01,Fine-bin logistic weight,pr_desintering_memory_model.py,local_competition,78,fine_weight = 1.0 / (1.0 + np.exp(np.clip((radii / r_ref - p.fine_radius_mid_ratio) /,production PR memory,negative_control
PR-02,Low-renewal gate,pr_desintering_memory_model.py,local_competition,81,low_activity = _sig((p.renewal_gate_mid - activity) / p.renewal_gate_width) * (1 - activity) ** p.renewal_power,production PR memory,negative_control
PR-03,Relative PR thermal factor,pr_desintering_memory_model.py,local_competition,84,"thermal = math.exp(float(np.clip(-p.Q_PR_J_mol / R * (1 / T - 1 / Tref), -40, 40)))",production PR memory,negative_control
PR-04,Connected fine topology gate,pr_desintering_memory_model.py,local_competition,88,topology_gate = (fine_connected / connected_total) ** p.topology_power,production PR memory,negative_control
PR-05,PR source by bin,pr_desintering_memory_model.py,local_competition,92,source = J_total * propensity_bins,production PR memory,negative_control
PR-06,Conservative PR partitions,pr_desintering_memory_model.py,local_competition,97,pr_smooth[:-1] -= move,production PR memory,negative_control
PR-07,Densification/PR competition,pr_desintering_memory_model.py,local_competition,111,"w_dens = H_dens / max(H_dens + H_PR, 1e-300) if p.early_memory_mode != ""disabled"" else 1.0",production PR memory,negative_control
PR-08,Competition-scaled removal,pr_desintering_memory_model.py,local_competition,114,"d[""GBseg_remove""] = old_gb * w_dens",production PR memory,negative_control
PR-09,PR/densifying work proxies,pr_desintering_memory_model.py,local_competition,122,"capillary_work = gamma * pr_flux / max(r_ref, 1e-30)",production PR diagnostics,diagnostic_only
PL-01,Three-store pore conservation,pore_location_topology_model.py,run,190,"s.rho=1-float(np.sum(s.phi_total));s.N_GBseg=_number(s.phi_GBseg,s.pore_radii);s.N_TJ=_number(s.phi_TJ,s.pore_radii);s.N_iso=_number(s.phi_iso,s.pore_radii)",pore-location topology,negative_control
PL-02,GB coverage,pore_location_topology_model.py,topology_diagnostics,102,"C_GB=1-math.exp(-max(arg_GB,0));C_TJ=1-math.exp(-max(arg_TJ,0))",pore-location topology,negative_control
PL-03,TJ occupancy,pore_location_topology_model.py,topology_diagnostics,102,"C_GB=1-math.exp(-max(arg_GB,0));C_TJ=1-math.exp(-max(arg_TJ,0))",pore-location/TJ models,negative_control
PL-04,Location densification eligibility,pore_location_topology_model.py,instantaneous,142,"eligibility=(gb_elig+tj_elig)/max(float(np.sum(s.phi_total)),1e-300)",pore-location topology,negative_control
PL-05,Location density rate,pore_location_topology_model.py,instantaneous,143,"rho_dot=min((1-s.rho)*p.base.event_strain*event_rate*eligibility,.05)",pore-location topology,negative_control
PL-06,Class-A pore pinning,pore_location_topology_model.py,instantaneous,150,"mobility=1/(1+Rgb+Rtj);free_G=top['f_clean_GB']*aggregate.arr(p.base.growth_prefactor_m2_s,p.base.Q_growth,T)/max(s.G,1e-30)",pore-location topology,negative_control
AL-01,Nonnegative action propensity,pore_location_agentic_model.py,score_actions,69,scores={,local action allocation,negative_control
AL-02,Normalized action allocation,pore_location_agentic_model.py,score_actions,85,"total_score=max(sum(a.propensity for a in actions.values()),1e-300);diag={f'action_propensity_{n}':a.propensity for n,a in actions.items()};diag.update({f'action_weight_{n}':a.propensity/total_score for n,a in actions.items()})",local action allocation,negative_control
AL-03,Constrained pair allocation,pore_location_agentic_model.py,allocated_fluxes,93,"return (x/z,y/z) if z>0 else (0.,0.)",three action-pair groups,negative_control
