parameter_id,success_5pct,success_10pct,has_lower_failure,has_upper_failure,rejected,rejection_reason
action_00,0,0,True,True,True,no_success_window
action_01,0,0,True,True,True,no_success_window
action_02,0,0,True,True,True,no_success_window
action_03,0,0,True,True,True,no_success_window
action_04,0,0,True,True,True,no_success_window
action_05,0,0,True,True,True,no_success_window
action_06,0,0,True,True,True,no_success_window
action_07,0,0,True,True,True,no_success_window
action_08,0,0,True,True,True,no_success_window
action_09,0,0,True,True,True,no_success_window
action_10,0,0,True,True,True,no_success_window
action_11,0,0,True,True,True,no_success_window
action_12,0,0,True,True,True,no_success_window
action_13,0,0,True,True,True,no_success_window
action_14,0,0,True,True,True,no_success_window
action_15,0,0,True,True,True,no_success_window
action_16,0,0,True,True,True,no_success_window
action_17,0,0,True,True,True,no_success_window
action_18,0,0,True,True,True,no_success_window
action_19,0,0,True,True,True,no_success_window
action_20,0,0,True,True,True,no_success_window
action_21,0,0,True,True,True,no_success_window
action_22,0,0,True,True,True,no_success_window
action_23,0,0,True,True,True,no_success_window
action_24,0,0,True,True,True,no_success_window
action_25,0,0,True,True,True,no_success_window
action_26,0,0,True,True,True,no_success_window
action_27,0,0,True,True,True,no_success_window
action_28,0,0,True,True,True,no_success_window
action_29,0,0,True,True,True,no_success_window
action_30,0,0,True,True,True,no_success_window
action_31,0,0,True,True,True,no_success_window
action_32,0,0,True,True,True,no_success_window
action_33,0,0,True,True,True,no_success_window
action_34,0,0,True,True,True,no_success_window
action_35,0,0,True,True,True,no_success_window
action_36,0,0,True,True,True,no_success_window
action_37,0,0,True,True,True,no_success_window
action_38,0,0,True,True,True,no_success_window
action_39,0,0,True,True,True,no_success_window
action_40,0,0,True,True,True,no_success_window
action_41,0,0,True,True,True,no_success_window
action_42,0,0,True,True,True,no_success_window
action_43,0,0,True,True,True,no_success_window
action_44,0,0,True,True,True,no_success_window
action_45,0,0,True,True,True,no_success_window
action_46,0,0,True,True,True,no_success_window
action_47,0,0,True,True,True,no_success_window
action_48,0,0,True,True,True,no_success_window
action_49,0,0,True,True,True,no_success_window
action_50,0,0,True,True,True,no_success_window
action_51,0,0,True,True,True,no_success_window
action_52,0,0,True,True,True,no_success_window
action_53,0,0,True,True,True,no_success_window
action_54,0,0,True,True,True,no_success_window
action_55,0,0,True,True,True,no_success_window
action_56,0,0,True,True,True,no_success_window
action_57,0,0,True,True,True,no_success_window
action_58,0,0,True,True,True,no_success_window
action_59,0,0,True,True,True,no_success_window
action_60,0,0,True,True,True,no_success_window
action_61,0,0,True,True,True,no_success_window
action_62,0,0,True,True,True,no_success_window
action_63,0,0,True,True,True,no_success_window
