figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,E0021/E0021_fast_firing_time_histories.pdf,E0021/E0021_fast_firing_time_histories.png,E0021 fast histories,selected_fast_firing_histories.csv,Inspect trajectory separation,Visual inspection
2,E0021/E0021_fast_firing_kinetic_times.pdf,E0021/E0021_fast_firing_kinetic_times.png,E0021 kinetic times,selected_fast_firing_histories.csv,Inspect serial times,Visual inspection
3,E0021/E0021_fast_firing_ablation_comparison.pdf,E0021/E0021_fast_firing_ablation_comparison.png,E0021 ablations,selected_fast_firing_histories.csv,Inspect causal diagnostics,Visual inspection
4,E0142/E0142_fast_firing_time_histories.pdf,E0142/E0142_fast_firing_time_histories.png,E0142 fast histories,selected_fast_firing_histories.csv,Inspect trajectory separation,Visual inspection
5,E0142/E0142_fast_firing_kinetic_times.pdf,E0142/E0142_fast_firing_kinetic_times.png,E0142 kinetic times,selected_fast_firing_histories.csv,Inspect serial times,Visual inspection
6,E0142/E0142_fast_firing_ablation_comparison.pdf,E0142/E0142_fast_firing_ablation_comparison.png,E0142 ablations,selected_fast_firing_histories.csv,Inspect causal diagnostics,Visual inspection
7,E0142/E0142_TierB_Chen_classification_map.pdf,E0142/E0142_TierB_Chen_classification_map.png,E0142 classification map,selected_Chen_classification_points.csv,Inspect distinct failures,Visual inspection
8,E0142/E0142_TierB_Chen_filled_window_map.pdf,E0142/E0142_TierB_Chen_filled_window_map.png,E0142 filled windows,selected_Chen_window_boundaries.csv,Inspect finite bands,Visual inspection
9,E0142/E0142_TierB_window_width_map.pdf,E0142/E0142_TierB_window_width_map.png,E0142 widths,selected_Chen_window_boundaries.csv,Compare widths,Visual inspection
10,E0142/E0142_TierB_q0_q1_comparison.pdf,E0142/E0142_TierB_q0_q1_comparison.png,q0/q1 comparison,selected_Chen_window_boundaries.csv,Compare q variants,Visual inspection
11,E0142/E0142_TierB_Chen_triplet_compact.pdf,E0142/E0142_TierB_Chen_triplet_compact.png,E0142 triplet compact,selected_Chen_representative_triplet_points.csv,Inspect lower/success/upper histories,Visual inspection
12,E0142/E0142_TierB_Chen_representative_triplet.pdf,E0142/E0142_TierB_Chen_representative_triplet.png,E0142 triplet full,selected_Chen_representative_triplet_points.csv,Full requested channels unavailable; see missing-data note,Visual inspection
13,E0021/E0021_TierC_Chen_failure_diagnostic.pdf,E0021/E0021_TierC_Chen_failure_diagnostic.png,E0021 Tier C diagnostic,strict_window_recheck.csv,Explain Tier B failure,Visual inspection
14,E0021/E0021_TierC_best_near_window_triplet.pdf,E0021/E0021_TierC_best_near_window_triplet.png,E0021 near triplet,strict_window_recheck.csv,Histories unavailable; see note,Visual inspection
15,comparison/microstructure_descriptors_fast_firing.pdf,comparison/microstructure_descriptors_fast_firing.png,Fast microstructure descriptors,selected_fast_firing_histories.csv,Compare material histories,Visual inspection
16,comparison/microstructure_descriptors_Chen.pdf,comparison/microstructure_descriptors_Chen.png,Chen descriptors,selected_Chen_representative_triplet_points.csv,Only XJ/Lambda/drag available; see note,Visual inspection
17,comparison/power_and_stress_channels_Chen.pdf,comparison/power_and_stress_channels_Chen.png,Chen power and stress,missing,Unavailable; see note,Visual inspection
18,comparison/dashboard_E0142_best_TierB.pdf,comparison/dashboard_E0142_best_TierB.png,E0142 Tier B dashboard,visual summary,Cross-reference dashboard,Visual inspection
19,comparison/dashboard_E0021_best_TierC.pdf,comparison/dashboard_E0021_best_TierC.png,E0021 Tier C dashboard,visual summary,Cross-reference dashboard,Visual inspection
20,comparison/dashboard_E0021_vs_E0142.pdf,comparison/dashboard_E0021_vs_E0142.png,Candidate comparison dashboard,visual summary,Cross-reference dashboard,Visual inspection
21,comparison/E0021_vs_E0142_fast_firing_comparison.pdf,comparison/E0021_vs_E0142_fast_firing_comparison.png,Fast-firing comparison,visual summary,Cross-reference dashboard,Visual inspection
