figure_id,filename_pdf,filename_png,title,category,source_tables,candidate_status
F01,main_figures/Figure_1_fast_firing_heating_rate_effect.pdf,main_figures/Figure_1_fast_firing_heating_rate_effect.png,Fast-firing heating-rate effect,main,dense_fast_firing_histories.csv; fast_firing_ratio_curves.csv,conditional Tier B; not calibrated; not validation
F02,fast_firing/fast_firing_T_rho_G_time.pdf,fast_firing/fast_firing_T_rho_G_time.png,Fast-firing time histories,fast_firing,dense_fast_firing_histories.csv,conditional Tier B; not calibrated; not validation
F03,fast_firing/fast_firing_G_vs_rho.pdf,fast_firing/fast_firing_G_vs_rho.png,Fast-firing grain-density trajectories,fast_firing,dense_fast_firing_histories.csv,conditional Tier B; not calibrated; not validation
F04,fast_firing/fast_firing_ratio_vs_rho.pdf,fast_firing/fast_firing_ratio_vs_rho.png,Fast-firing matched-density ratio,fast_firing,dense_fast_firing_histories.csv,conditional Tier B; not calibrated; not validation
F05,fast_firing/fast_firing_heating_rate_map.pdf,fast_firing/fast_firing_heating_rate_map.png,Fast-firing heating-rate map,fast_firing,fast_firing_heating_rate_map.csv,conditional Tier B; not calibrated; not validation
F06,main_figures/Figure_2_candidate_693168_two_step_trajectory.pdf,main_figures/Figure_2_candidate_693168_two_step_trajectory.png,Two-step trajectory,main,dense_time_histories.csv; dense_matched_density_curves.csv; T2_diagnostic_curves.csv,conditional Tier B; not calibrated; not validation
F07,two_step/two_step_T_rho_G_time.pdf,two_step/two_step_T_rho_G_time.png,Two-step physical-time histories,two_step,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F08,two_step/two_step_G_vs_rho.pdf,two_step/two_step_G_vs_rho.png,Two-step G-rho,two_step,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F09,two_step/two_step_reduction_vs_rho.pdf,two_step/two_step_reduction_vs_rho.png,Two-step reduction,two_step,dense_matched_density_curves.csv,conditional Tier B; not calibrated; not validation
F10,two_step/two_step_final_density_growth_vs_T2.pdf,two_step/two_step_final_density_growth_vs_T2.png,Final density and growth versus T2,two_step,T2_diagnostic_curves.csv,conditional Tier B; not calibrated; not validation
F11,two_step/two_step_success_failure_triplet.pdf,two_step/two_step_success_failure_triplet.png,Two-step outcome triplet,two_step,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F12,chen_maps/chen_map_T1_T2_experimental_style.pdf,chen_maps/chen_map_T1_T2_experimental_style.png,T1-T2 Chen map,chen_map,chen_map_T1_T2_classification.csv,conditional Tier B; not calibrated; not validation
F13,chen_maps/chen_map_G1_T2_experimental_style.pdf,chen_maps/chen_map_G1_T2_experimental_style.png,G1-T2 Chen map,chen_map,chen_map_G1_T2_classification.csv,conditional Tier B; not calibrated; not validation
F14,chen_maps/chen_map_switch_density_T2.pdf,chen_maps/chen_map_switch_density_T2.png,Switch-density Chen map,chen_map,chen_map_switch_density_T2_classification.csv,conditional Tier B; not calibrated; not validation
F15,chen_maps/T2_diagnostic_curves_experimental_style.pdf,chen_maps/T2_diagnostic_curves_experimental_style.png,T2 diagnostic curves,chen_map,T2_diagnostic_curves.csv,conditional Tier B; not calibrated; not validation
F16,main_figures/Figure_3_candidate_693168_complete_Chen_map.pdf,main_figures/Figure_3_candidate_693168_complete_Chen_map.png,Complete filled Chen map,main,three classification tables; T2 diagnostics,conditional Tier B; not calibrated; not validation
F17,main_figures/Figure_4_candidate_693168_mechanism_interpretation.pdf,main_figures/Figure_4_candidate_693168_mechanism_interpretation.png,Mechanism interpretation,main,dense histories; ablation audit,conditional Tier B; not calibrated; not validation
F18,supplement_figures/S1_dense_time_histories_all_paths.pdf,supplement_figures/S1_dense_time_histories_all_paths.png,Dense histories,supplement,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F19,supplement_figures/S2_pore_store_evolution.pdf,supplement_figures/S2_pore_store_evolution.png,Pore-store evolution,supplement,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F20,supplement_figures/S3_closed_accommodation_diagnostics.pdf,supplement_figures/S3_closed_accommodation_diagnostics.png,Closed accommodation diagnostics,supplement,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F21,supplement_figures/S4_PR_damage_energy_partition.pdf,supplement_figures/S4_PR_damage_energy_partition.png,PR/densification volume-equivalent partition,supplement,dense_time_histories.csv,conditional Tier B; not calibrated; not validation
F22,supplement_figures/S5_ablation_matrix.pdf,supplement_figures/S5_ablation_matrix.png,Ablation matrix,supplement,candidate_693168_ablation_audit.csv,conditional Tier B; not calibrated; not validation
F23,supplement_figures/S6_six_TierB_candidate_comparison.pdf,supplement_figures/S6_six_TierB_candidate_comparison.png,Six Tier-B candidates,supplement,six_tierB_candidate_comparison.csv,conditional Tier B; not calibrated; not validation
F24,supplement_figures/S7_robustness_rho0_G0_heatmap.pdf,supplement_figures/S7_robustness_rho0_G0_heatmap.png,Initial-condition robustness,supplement,candidate_693168_extended_robustness.csv,conditional Tier B; not calibrated; not validation
F25,main_figures/Figure_5_candidate_693168_dashboard.pdf,main_figures/Figure_5_candidate_693168_dashboard.png,Candidate dashboard,main,all presentation source tables,conditional Tier B; not calibrated; not validation
