case_id,success_5pct,success_10pct,has_lower_failure,has_upper_failure,universal_success,rejected,rejection_reason,f_GBseg_init,f_TJ_init,f_iso_init,size_bias,eta_TJ_dens,q,k_GB_smooth_scale,k_GB_to_TJ_scale,k_TJ_iso_scale,pin_scale,stress_scale
screen_00,0,0,True,True,False,False,,0.8,0.1,0.1,neutral,0.0,1.0,0.35,1.0,2.5,0.4000000000000001,0.5
screen_01,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,neutral,0.0,1.0,0.35,0.35,2.5,0.4000000000000001,0.5
screen_02,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,neutral,0.0,1.0,0.35,2.5,2.5,0.4000000000000001,0.5
screen_03,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,neutral,0.25,1.0,0.35,1.0,2.5,0.4000000000000001,0.5
screen_04,0,0,True,True,False,False,,0.8,0.1,0.1,separated,0.25,1.0,0.35,0.35,2.5,0.4000000000000001,0.5
screen_05,0,0,True,True,False,False,,0.5,0.3,0.2,separated,0.25,1.0,0.35,2.5,2.5,1.0,0.5
screen_06,0,0,True,True,False,False,,0.2,0.6,0.2,separated,0.5,1.0,0.35,1.0,2.5,1.0,0.5
screen_07,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,separated,0.5,2.0,0.35,0.35,2.5,1.0,0.5
screen_08,0,0,True,True,False,False,,0.8,0.1,0.1,TJ_large,0.5,2.0,0.35,2.5,2.5,1.0,0.5
screen_09,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,TJ_large,0.0,2.0,0.35,1.0,2.5,1.0,0.5
screen_10,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,TJ_large,0.0,2.0,0.35,0.35,2.5,2.0,0.5
screen_11,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,TJ_large,0.0,2.0,0.35,2.5,2.5,2.0,1.0
screen_12,0,0,True,True,False,False,,0.8,0.1,0.1,neutral,0.25,2.0,1.0,1.0,2.5,2.0,1.0
screen_13,0,0,True,True,False,False,,0.5,0.3,0.2,neutral,0.25,2.0,1.0,0.35,2.5,2.0,1.0
screen_14,0,0,True,False,False,True,missing_upper_boundary,0.2,0.6,0.2,neutral,0.25,3.0,1.0,2.5,2.5,2.0,1.0
screen_15,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,neutral,0.5,3.0,1.0,1.0,2.5,0.4000000000000001,1.0
screen_16,0,0,True,True,False,False,,0.8,0.1,0.1,separated,0.5,3.0,1.0,0.35,2.5,0.4000000000000001,1.0
screen_17,0,0,True,True,False,False,,0.5,0.3,0.2,separated,0.5,3.0,1.0,2.5,2.5,0.4000000000000001,1.0
screen_18,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,separated,0.0,3.0,1.0,1.0,2.5,0.4000000000000001,1.0
screen_19,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,separated,0.0,3.0,1.0,0.35,2.5,0.4000000000000001,1.0
screen_20,0,0,True,True,False,False,,0.8,0.1,0.1,TJ_large,0.0,3.0,1.0,2.5,2.5,1.0,1.0
screen_21,0,0,True,True,False,False,,0.5,0.3,0.2,TJ_large,0.25,1.0,1.0,1.0,2.5,1.0,1.0
screen_22,0,0,True,True,False,False,,0.2,0.6,0.2,TJ_large,0.25,1.0,1.0,0.35,2.5,1.0,1.8
screen_23,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,TJ_large,0.25,1.0,1.0,2.5,2.5,1.0,1.8
screen_24,0,0,True,True,False,False,,0.8,0.1,0.1,neutral,0.5,1.0,2.5,1.0,2.5,1.0,1.8
screen_25,0,0,True,True,False,False,,0.5,0.3,0.2,neutral,0.5,1.0,2.5,0.35,2.5,2.0,1.8
screen_26,0,0,True,True,False,False,,0.2,0.6,0.2,neutral,0.5,1.0,2.5,2.5,2.5,2.0,1.8
screen_27,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,neutral,0.0,1.0,2.5,1.0,2.5,2.0,1.8
screen_28,0,0,True,True,False,False,,0.8,0.1,0.1,separated,0.0,2.0,2.5,0.35,2.5,2.0,1.8
screen_29,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,separated,0.0,2.0,2.5,2.5,2.5,2.0,1.8
screen_30,0,0,True,False,False,True,missing_upper_boundary,0.2,0.6,0.2,separated,0.25,2.0,2.5,1.0,2.5,0.4000000000000001,1.8
screen_31,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,separated,0.25,2.0,2.5,0.35,2.5,0.4000000000000001,1.8
screen_32,0,0,True,True,False,False,,0.8,0.1,0.1,TJ_large,0.25,2.0,2.5,2.5,2.5,0.4000000000000001,1.8
screen_33,0,0,True,True,False,False,,0.5,0.3,0.2,TJ_large,0.5,2.0,2.5,1.0,2.5,0.4000000000000001,0.5
screen_34,0,0,True,False,False,True,missing_upper_boundary,0.2,0.6,0.2,TJ_large,0.5,2.0,2.5,0.35,2.5,0.4000000000000001,0.5
screen_35,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,TJ_large,0.5,3.0,2.5,2.5,2.5,1.0,0.5
screen_36,0,0,True,False,False,True,missing_upper_boundary,0.8,0.1,0.1,neutral,0.0,3.0,0.35,1.0,2.5,1.0,0.5
screen_37,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,neutral,0.0,3.0,0.35,0.35,2.5,1.0,0.5
screen_38,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,neutral,0.0,3.0,0.35,2.5,2.5,1.0,0.5
screen_39,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,neutral,0.25,3.0,0.35,1.0,2.5,1.0,0.5
screen_40,0,0,True,True,False,False,,0.8,0.1,0.1,separated,0.25,3.0,0.35,0.35,2.5,2.0,0.5
screen_41,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,separated,0.25,3.0,0.35,2.5,2.5,2.0,0.5
screen_42,0,0,True,True,False,False,,0.2,0.6,0.2,separated,0.5,1.0,0.35,1.0,2.5,2.0,0.5
screen_43,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,separated,0.5,1.0,0.35,0.35,2.5,2.0,0.5
screen_44,0,0,True,True,False,False,,0.8,0.1,0.1,TJ_large,0.5,1.0,0.35,2.5,2.5,2.0,1.0
screen_45,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,TJ_large,0.0,1.0,0.35,1.0,2.5,0.4000000000000001,1.0
screen_46,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,TJ_large,0.0,1.0,0.35,0.35,2.5,0.4000000000000001,1.0
screen_47,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,TJ_large,0.0,1.0,0.35,2.5,2.5,0.4000000000000001,1.0
screen_48,0,0,True,True,False,False,,0.8,0.1,0.1,neutral,0.25,1.0,1.0,1.0,2.5,0.4000000000000001,1.0
screen_49,0,0,True,True,False,False,,0.5,0.3,0.2,neutral,0.25,2.0,1.0,0.35,2.5,0.4000000000000001,1.0
screen_50,0,0,True,False,False,True,missing_upper_boundary,0.2,0.6,0.2,neutral,0.25,2.0,1.0,2.5,2.5,1.0,1.0
screen_51,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,neutral,0.5,2.0,1.0,1.0,2.5,1.0,1.0
screen_52,0,0,True,True,False,False,,0.8,0.1,0.1,separated,0.5,2.0,1.0,0.35,2.5,1.0,1.0
screen_53,0,0,True,True,False,False,,0.5,0.3,0.2,separated,0.5,2.0,1.0,2.5,2.5,1.0,1.0
screen_54,0,0,False,False,False,True,missing_lower_boundary,0.2,0.6,0.2,separated,0.0,2.0,1.0,1.0,2.5,1.0,1.0
screen_55,0,0,True,False,False,True,missing_upper_boundary,0.5,0.1,0.4,separated,0.0,2.0,1.0,0.35,2.5,2.0,1.8
screen_56,0,0,True,True,False,False,,0.8,0.1,0.1,TJ_large,0.0,3.0,1.0,2.5,2.5,2.0,1.8
screen_57,0,0,True,False,False,True,missing_upper_boundary,0.5,0.3,0.2,TJ_large,0.25,3.0,1.0,1.0,2.5,2.0,1.8
