parameter_id,mechanism_mode,success_5pct,success_10pct,has_lower_failure,has_upper_failure,rejected,rejection_reason
mech_000,persistent_junction,0,0,True,True,True,no_success_window
mech_001,tj_multihit_q0,2,4,True,True,False,
mech_002,tj_multihit_q1,9,9,True,True,False,
mech_003,persistent_tj_multihit_q0,2,4,True,True,False,
mech_004,persistent_tj_multihit_q1,9,10,True,True,False,
mech_005,persistent_junction,0,0,True,True,True,no_success_window
mech_006,tj_multihit_q0,2,4,True,True,False,
mech_007,tj_multihit_q1,9,9,True,True,False,
mech_008,persistent_tj_multihit_q0,4,5,True,True,False,
mech_009,persistent_tj_multihit_q1,11,11,True,True,False,
mech_010,persistent_junction,0,0,True,True,True,no_success_window
mech_011,tj_multihit_q0,0,2,True,True,False,
mech_012,tj_multihit_q1,6,10,True,True,False,
mech_013,persistent_tj_multihit_q0,5,7,True,True,False,
mech_014,persistent_tj_multihit_q1,9,9,True,True,False,
mech_015,persistent_junction,0,0,True,True,True,no_success_window
mech_016,tj_multihit_q0,4,6,True,True,False,
mech_017,tj_multihit_q1,9,9,True,True,False,
mech_018,persistent_tj_multihit_q0,7,9,True,True,False,
mech_019,persistent_tj_multihit_q1,11,11,True,True,False,
mech_020,persistent_junction,0,0,True,True,True,no_success_window
mech_021,tj_multihit_q0,4,5,True,True,False,
mech_022,tj_multihit_q1,6,7,True,True,False,
mech_023,persistent_tj_multihit_q0,2,4,True,True,False,
mech_024,persistent_tj_multihit_q1,6,7,True,True,False,
mech_025,persistent_junction,0,0,True,True,True,no_success_window
mech_026,tj_multihit_q0,5,5,True,True,False,
mech_027,tj_multihit_q1,10,10,True,True,False,
mech_028,persistent_tj_multihit_q0,5,7,True,True,False,
mech_029,persistent_tj_multihit_q1,9,9,True,True,False,
mech_030,persistent_junction,0,0,True,True,True,no_success_window
mech_031,tj_multihit_q0,5,5,True,True,False,
mech_032,tj_multihit_q1,10,10,True,True,False,
mech_033,persistent_tj_multihit_q0,2,4,True,True,False,
mech_034,persistent_tj_multihit_q1,7,7,True,True,False,
mech_035,persistent_junction,0,2,True,True,False,
mech_036,tj_multihit_q0,0,2,True,True,False,
mech_037,tj_multihit_q1,6,7,True,True,False,
mech_038,persistent_tj_multihit_q0,2,2,True,True,False,
mech_039,persistent_tj_multihit_q1,9,9,True,True,False,
mech_040,persistent_junction,0,0,True,True,True,no_success_window
mech_041,tj_multihit_q0,6,6,True,True,False,
mech_042,tj_multihit_q1,10,10,True,True,False,
mech_043,persistent_tj_multihit_q0,5,5,True,True,False,
mech_044,persistent_tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_045,persistent_junction,0,0,True,True,True,no_success_window
mech_046,tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_047,tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_048,persistent_tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_049,persistent_tj_multihit_q1,13,13,True,False,True,missing_upper_boundary
mech_050,persistent_junction,0,0,True,True,True,no_success_window
mech_051,tj_multihit_q0,13,13,True,False,True,missing_upper_boundary
mech_052,tj_multihit_q1,9,9,True,True,False,
mech_053,persistent_tj_multihit_q0,5,5,True,True,False,
mech_054,persistent_tj_multihit_q1,11,11,True,True,False,
mech_055,persistent_junction,0,4,True,True,False,
mech_056,tj_multihit_q0,0,2,True,True,False,
mech_057,tj_multihit_q1,6,8,True,True,False,
mech_058,persistent_tj_multihit_q0,4,5,True,True,False,
mech_059,persistent_tj_multihit_q1,9,9,True,True,False,
mech_060,persistent_junction,0,0,True,True,True,no_success_window
mech_061,tj_multihit_q0,0,2,True,True,False,
mech_062,tj_multihit_q1,6,8,True,True,False,
mech_063,persistent_tj_multihit_q0,0,2,True,True,False,
