figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,rho,reference_path,comparison_path,G_ref_nm,G_fast_nm,R_fast,reduction_fast,ratio_threshold_1p2,ratio_threshold_1p5,ratio_threshold_2p0,both_paths_attained,material_id,property_id,schedule_id,ablation,reference_rate_C_min,fast_rate_C_min,peak_T_C,hold_time_h
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7000000000000001,1 C/min,20 C/min,50.00000000000056,50.00000000000056,1.0,0.0,False,False,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7010000000000001,1 C/min,20 C/min,126.78478080150977,85.91517747532414,1.475697129740829,0.32235417427719326,True,False,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7020000000000001,1 C/min,20 C/min,164.5215862739767,107.25809842702014,1.5338849810573456,0.3480606353478507,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7030000000000001,1 C/min,20 C/min,192.52607515240237,123.86870420277677,1.554275362703653,0.35661336208758676,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7040000000000001,1 C/min,20 C/min,215.45193712643976,137.79893971213136,1.563523910826377,0.3604191192244287,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7050000000000001,1 C/min,20 C/min,235.17271039590824,149.95326741544784,1.5683066761350295,0.3623696084337136,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7060000000000001,1 C/min,20 C/min,252.6436472573445,160.82939389259272,1.5708798071207581,0.36341405913614433,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7070000000000001,1 C/min,20 C/min,268.43834431632814,170.73070618692628,1.5722909505360192,0.3639853999928677,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7080000000000001,1 C/min,20 C/min,282.92600738766583,179.8599710594436,1.573034876638332,0.36428618662476264,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7090000000000001,1 C/min,20 C/min,296.35560587645745,188.35961681375417,1.5733500146662929,0.3644135184934678,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7100000000000001,1 C/min,20 C/min,308.91549990380986,196.3333720971747,1.5734232881759547,0.3644431174275522,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7110000000000001,1 C/min,20 C/min,320.7410497803247,203.8629664844256,1.573316896695056,0.3644001395391978,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
