mechanism,branch,commit,physics,criterion,result,max_ratio,span_ge_1p2,span_ge_1p5,density_range,rho_ref_max,rho_fast_max,chen_windows,trajectory_meaningful,retention,q_visible,tj_separated
Aggregate fixed model / PR #2 control,codex/topology-constrained-mechanisms,PR #2,Topology-constrained mean-field fluxes,HR and Chen signs,negative fast-firing control,1.0,0.0,0.0,0.75-0.92,0.92,0.92,False,False,baseline negative control,False,False
Pore-placement topology,codex/pore-placement-topology-search,historical,GB/TJ/isolated pore placement,finite nanoscale Chen window,negative,1.0,0.0,0.0,to 0.90,0.9,0.9,False,False,negative control,False,True
Pore-location action layer,codex/pore-location-action-layer,historical,Local competing location actions,Chen map,negative,1.0,0.0,0.0,to 0.90,0.9,0.9,False,False,abandoned mechanism,False,True
Persistent junction + TJ multihit,codex/agentic-mechanism-discovery,source-grounded family,Persistent junction drag and multihit completion,bounded practical Chen windows,Chen success,1.0,0.0,0.0,to 0.90,0.9,0.9,True,False,retained Chen baseline,True,True
Practical preparation-window search,codex/agentic-mechanism-discovery,6da2500,Censor-aware preparation plus adaptive T2,T2<T1 with bracketed boundaries,150-300 nm windows,1.0,0.0,0.0,to 0.90,0.9,0.9,True,False,retained processing map,True,True
Production PR/de-sintering memory,codex/pr-desintering-fast-firing-memory,3ead9c9/62394cf,Conservative PR pore memory,former HR_pct>1 internal,internal memory; weak observable effect,1.301,0.0,0.0,0.85-0.92,0.92,0.92,True,False,"mechanistic baseline, not paper success",True,True
Observable trajectory audit,codex/pr-desintering-fast-firing-memory,4631112,Matched-density effect-size analysis,ratio>=1.5 over Drho>=0.03,falsified observable claim,1.301,0.0,0.0,0.85-0.92,0.92,0.92,True,False,controlling negative result,True,True
Heterogeneous initial state + stress,codex/heterogeneous-initial-state-residual-stress,40b7bb9,Weighted cohorts and residual stress,observable finite-span ratio,transient 1.662 over Drho .008,1.662,0.008,0.008,0.85-0.92,0.859,0.88,False,False,negative control,True,True
Persistent defect/topology-stress,codex/persistent-defect-topology-stress-memory,4f80b19,Slowly relaxing defect and stored-work state,observable finite-span ratio,ratio 3.73; interval unattained,3.73,0.0,0.0,0.85-0.92,0.85,0.88,False,False,negative control,True,True
Local connected-sink defect memory,codex/local-connected-sink-defect-memory,69d61e1,Independent matrix/defect regions,observable finite-span ratio,ratio 1.758 only censored,1.758,0.0,0.0,0.85-0.92,0.92,0.92,False,False,negative control,True,True
Late-stage closed-pore audit,codex/late-stage-closed-pore-trajectory,8ce78ef,"Closed store, vacancy transport, gas and detachment",observable ratio through 0.99,five fast paths to .95; no .98,2.024,0.0,0.0,0.85-0.99 targets,0.972,0.969,True,False,late-stage negative control,True,True
