figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,node_id,mechanism_group,label,short_description,variable_links,final_interpretation_role,supporting_table_or_report
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF01,fast_firing,Slow ramp,Long intermediate-temperature residence,T(t); low_activity_exposure,negative-control comparator,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF02,fast_firing,Low-activity interval,Growth/redistribution occurs before efficient density gain,activity; E_G,final attribution,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF03,fast_firing,Nucleation waiting,Disconnection/source renewal remains activation limited,tau_nuc; Theta_nuc,final attribution,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF04,fast_firing,Non-densifying coarsening / redistribution,Slow exposure increases grain size at matched density,G; PR_exposure,diagnostic consequence,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF05,fast_firing,Delayed densification,Density gain starts after additional growth,rho_dot; activity,final attribution,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF06,fast_firing,Fast ramp,Rapid crossing of the low-activity interval,heating_rate_C_min,final comparator,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF07,fast_firing,Reduced low-activity exposure,Less pre-densification growth,low_activity_exposure,final attribution,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,FF08,fast_firing,Finer G(rho),Fast path retains smaller grains at matched density,R_fast,observable final evidence,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,TS01,two_step,First-step PR preparation,First step prepares a closed-pore/topology state,PR_damage_memory; H_PR,conditional final attribution,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
Figure 1,nodes,,schematic,final_synthesis,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md,mechanism synthesis text,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Schematic nodes transcribed from the exact-only final synthesis.,TS02,two_step,Closed-pore store / accommodation state,Bounded accommodation controls late density gain,phi_closed; closed_accommodation_factor,conditional calibration target,docs/FINAL_FAST_FIRING_AND_TWO_STEP_MECHANISM_SYNTHESIS.md
