requested_file,resolved_file,source_directory,exists,resolution_note
run_state.json,run_state.json,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
fixed_zro2_parameter_manifest.csv,fixed_zro2_parameter_manifest.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
prior_solution_reference_manifest.csv,prior_solution_manifest.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
heating_rate_histories.csv,heating_rate_histories.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
heating_rate_matched_density_ratios.csv,heating_rate_matched_density_ratios.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
heating_rate_benefit_summary.csv,prediction_outcome_summary.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
heating_rate_selected_cases.csv,selected_representative_cases.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
twostep_second_step_classification_points.csv,twostep_second_step_classification_points.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
twostep_window_boundaries.csv,twostep_window_boundaries.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
twostep_boundary_gap_summary.csv,twostep_boundary_gap_summary.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
twostep_vs_isothermal_matched_density_ratios.csv,twostep_vs_isothermal_matched_density_ratios.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
twostep_selected_cases.csv,selected_representative_cases.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
refined_twostep_classification_points.csv,twostep_second_step_classification_points.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
refined_twostep_window_boundaries.csv,twostep_window_boundaries.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
refined_selected_case_histories.csv,twostep_representative_histories.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
selected_representative_cases.csv,selected_representative_cases.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
process_state_prediction_outcome_summary.csv,prediction_outcome_summary.csv,results/zro2_forward_processing_window_prediction_figures,True,equivalent fixed-physics processing-window output
