parameter,parameter_class,source,used_by,physical_ZrO2_input,requires_calibration,notes
"G*(sigma,T)",fixed_ZrO2_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
b,literature_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
nu0,fixed_ZrO2_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
D_GB0,literature_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
Q_GB,literature_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
D_s0,literature_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
Q_s,literature_input,MaterialParameters/barrier JSON,defined_laws_port,True,False,
M0_growth,global_calibration,defined reduced/geometry law,defined_laws_port,False,True,
Q_growth,bounded_uncertainty,defined reduced/geometry law,defined_laws_port,False,False,
C_TJ,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
C_GB,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
rho_TL_area,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
eps_event,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
Zener_R_Z,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
Zener_pinning_factor,geometry_derived,defined reduced/geometry law,defined_laws_port,False,False,
phi_open,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
phi_iso,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
phi_closed,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
phi_removable,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
phi_trapped,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
PR_memory,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
PR_work,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
precursor_closed,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
A_closed,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
A_closed_used,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
A_closed_recovered,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
r_i,state_variable,current state/forward diagnostics,defined_laws_port,False,False,
sigma_eff,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
tau_nuc,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
tau_exchange,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
tau_transport,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
tau_sink,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
Lambda,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
activity,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
pore_D50,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
pore_D90,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
tau_remove_i,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
closed_shrinkage_rate,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
G_dot_intrinsic,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
G_dot_actual,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
Gamma_migration,computed_diagnostic,current state/forward diagnostics,defined_laws_port,False,False,
A_closed_max,reduced_phenomenological,defined reduced/geometry law,defined_laws_port,False,True,
Q_closed_app,empirical_diagnostic,defined reduced/geometry law,defined_laws_port,False,False,apparent only; not a material property
k_closed_eff,missing_physical_mapping,defined reduced/geometry law,defined_laws_port,False,True,
candidate693168_rate_and_capacity_set,reduced_phenomenological,candidate 693168 conditional Tier B,reduced_candidate_law_transfer,False,True,comparator logic only; values not calibrated ZrO2 inputs
Q_closed_emp_and_k0_closed_emp,empirical_diagnostic,physical-law comparison diagnostic,empirical_rate_scale_diagnostic,False,False,nonphysical and nonvalidated
